reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value,model
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.025,731,team_name-model_name
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.1,741,team_name-model_name
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.25,787,team_name-model_name
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.5,790,team_name-model_name
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.75,849,team_name-model_name
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.9,900,team_name-model_name
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.975,1036,team_name-model_name
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.025,731,team_name-model_name
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.1,741,team_name-model_name
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.25,787,team_name-model_name
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.5,790,team_name-model_name
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.75,849,team_name-model_name
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.9,900,team_name-model_name
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.975,1036,team_name-model_name
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.025,731,team_name-model_name
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.1,741,team_name-model_name
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.25,787,team_name-model_name
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.5,790,team_name-model_name
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.75,849,team_name-model_name
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.9,900,team_name-model_name
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.975,1036,team_name-model_name
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.025,731,team_name-model_name
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.1,741,team_name-model_name
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.25,787,team_name-model_name
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.5,790,team_name-model_name
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.75,849,team_name-model_name
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.9,900,team_name-model_name
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.975,1036,team_name-model_name
2024-09-21,wk inc covid hosp,3,Ontario,2024-10-12,quantile,0.025,731,team_name-model_name
2024-09-21,wk inc covid hosp,3,Ontario,2024-10-12,quantile,0.1,741,team_name-model_name
2024-09-21,wk inc covid hosp,3,Ontario,2024-10-12,quantile,0.25,787,team_name-model_name
2024-09-21,wk inc covid hosp,3,Ontario,2024-10-12,quantile,0.5,790,team_name-model_name
2024-09-21,wk inc covid hosp,3,Ontario,2024-10-12,quantile,0.75,849,team_name-model_name
2024-09-21,wk inc covid hosp,3,Ontario,2024-10-12,quantile,0.9,900,team_name-model_name
2024-09-21,wk inc covid hosp,3,Ontario,2024-10-12,quantile,0.975,1036,team_name-model_name
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.025,761,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.1,771,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.25,817,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.5,820,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.75,879,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.9,930,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,-1,Ontario,2024-09-14,quantile,0.975,1066,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.025,761,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.1,771,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.25,817,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.5,820,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.75,879,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.9,930,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,0,Ontario,2024-09-21,quantile,0.975,1066,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.025,761,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.1,771,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.25,817,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.5,820,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.75,879,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.9,930,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,1,Ontario,2024-09-28,quantile,0.975,1066,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.025,761,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.1,771,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.25,817,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.5,820,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.75,879,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.9,930,UGuelphensemble-GRYPHON
2024-09-21,wk inc covid hosp,2,Ontario,2024-10-05,quantile,0.975,1066,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.025,731,UGuelphensemble-GRYPHON
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.1,741,UGuelphensemble-GRYPHON
