"time","geo_value","geo_type","covid","flu","rsv"
2022-01-01,"Ontario","Province",1164,NA,NA
2022-01-01,"North East","OH Region",4,NA,NA
2022-01-01,"West","OH Region",11,NA,NA
2022-01-01,"West","OH Region",18,NA,NA
2022-01-01,"West","OH Region",134,NA,NA
2022-01-01,"East","OH Region",32,NA,NA
2022-01-01,"East","OH Region",6,NA,NA
2022-01-01,"West","OH Region",8,NA,NA
2022-01-01,"West","OH Region",2,NA,NA
2022-01-01,"East","OH Region",3,NA,NA
2022-01-01,"Central","OH Region",28,NA,NA
2022-01-01,"East","OH Region",15,NA,NA
2022-01-01,"West","OH Region",6,NA,NA
2022-01-01,"East","OH Region",8,NA,NA
2022-01-01,"West","OH Region",16,NA,NA
2022-01-01,"East","OH Region",8,NA,NA
2022-01-01,"West","OH Region",27,NA,NA
2022-01-01,"West","OH Region",82,NA,NA
2022-01-01,"North East","OH Region",1,NA,NA
2022-01-01,"North West","OH Region",7,NA,NA
2022-01-01,"East","OH Region",87,NA,NA
2022-01-01,"Central","OH Region",109,NA,NA
2022-01-01,"East","OH Region",8,NA,NA
2022-01-01,"North East","OH Region",2,NA,NA
2022-01-01,"North East","OH Region",12,NA,NA
2022-01-01,"West","OH Region",35,NA,NA
2022-01-01,"North East","OH Region",7,NA,NA
2022-01-01,"Central","OH Region",36,NA,NA
2022-01-01,"West","OH Region",21,NA,NA
2022-01-01,"North West","OH Region",13,NA,NA
2022-01-01,"North East","OH Region",1,NA,NA
2022-01-01,"Toronto","OH Region",310,NA,NA
2022-01-01,"Central","OH Region",13,NA,NA
2022-01-01,"West","OH Region",25,NA,NA
2022-01-01,"Central","OH Region",80,NA,NA
2022-09-03,"Ontario","Province",1237,NA,NA
2022-09-03,"North East","OH Region",20,NA,NA
2022-09-03,"West","OH Region",13,NA,NA
2022-09-03,"West","OH Region",16,NA,NA
2022-09-03,"West","OH Region",77,NA,NA
2022-09-03,"East","OH Region",41,NA,NA
2022-09-03,"East","OH Region",12,NA,NA
2022-09-03,"West","OH Region",9,NA,NA
2022-09-03,"West","OH Region",4,NA,NA
2022-09-03,"East","OH Region",14,NA,NA
2022-09-03,"Central","OH Region",23,NA,NA
2022-09-03,"East","OH Region",22,NA,NA
2022-09-03,"West","OH Region",7,NA,NA
2022-09-03,"East","OH Region",20,NA,NA
2022-09-03,"West","OH Region",4,NA,NA
2022-09-03,"East","OH Region",29,NA,NA
