reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.025,731.2273
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.75,849.8726
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.975,1036.7656
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.1,741.3845
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.25,787.3276
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.9,900.4715
2024-10-26,wk inc covid hosp,-1,Ontario,2024-10-19,quantile,0.5,790.8871
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.75,742.4916
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.25,651.03906
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.9,787.0325
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.1,626.51263
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.975,965.6421
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.025,690.4763
2024-10-26,wk inc covid hosp,0,Ontario,2024-10-26,quantile,0.5,572.01874
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.75,516.177
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.975,924.26215
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.9,732.91327
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.5,346.3141
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.025,530.21765
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.25,465.94852
2024-10-26,wk inc covid hosp,1,Ontario,2024-11-02,quantile,0.1,482.03314
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.5,136.41757
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.025,493.179
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.9,667.8259
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.975,898.79285
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.1,313.41595
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.75,420.97827
2024-10-26,wk inc covid hosp,2,Ontario,2024-11-09,quantile,0.25,323.04337
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.75,249.3985
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.9,667.8259
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.025,385.23404
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.25,181.90718
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.5,15.133153
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.1,229.04514
2024-10-26,wk inc covid hosp,3,Ontario,2024-11-16,quantile,0.975,898.79285
