"time","geo_value","geo_type","covid","flu","rsv"
2019-08-31,"Ontario","Province",NA,NA,NA
2019-08-31,"North East","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"East","OH Region",NA,NA,NA
2019-08-31,"East","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"East","OH Region",NA,NA,NA
2019-08-31,"Central","OH Region",NA,NA,NA
2019-08-31,"East","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"East","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"East","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"North East","OH Region",NA,NA,NA
2019-08-31,"North West","OH Region",NA,NA,NA
2019-08-31,"East","OH Region",NA,NA,NA
2019-08-31,"Central","OH Region",NA,NA,NA
2019-08-31,"East","OH Region",NA,NA,NA
2019-08-31,"North East","OH Region",NA,NA,NA
2019-08-31,"North East","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"North East","OH Region",NA,NA,NA
2019-08-31,"Central","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"North West","OH Region",NA,NA,NA
2019-08-31,"North East","OH Region",NA,NA,NA
2019-08-31,"Toronto","OH Region",NA,NA,NA
2019-08-31,"Central","OH Region",NA,NA,NA
2019-08-31,"West","OH Region",NA,NA,NA
2019-08-31,"Central","OH Region",NA,NA,NA
2019-09-07,"Ontario","Province",NA,NA,NA
2019-09-07,"North East","OH Region",NA,NA,NA
2019-09-07,"West","OH Region",NA,NA,NA
2019-09-07,"West","OH Region",NA,NA,NA
2019-09-07,"West","OH Region",NA,NA,NA
2019-09-07,"East","OH Region",NA,NA,NA
2019-09-07,"East","OH Region",NA,NA,NA
2019-09-07,"West","OH Region",NA,NA,NA
2019-09-07,"West","OH Region",NA,NA,NA
2019-09-07,"East","OH Region",NA,NA,NA
2019-09-07,"Central","OH Region",NA,NA,NA
2019-09-07,"East","OH Region",NA,NA,NA
2019-09-07,"West","OH Region",NA,NA,NA
2019-09-07,"East","OH Region",NA,NA,NA
