"time","geo_value","geo_type","covid"
2021-01-02,"Ontario","Province",1279
2021-01-02,"North East","OH Region",2
2021-01-02,"West","OH Region",4
2021-01-02,"West","OH Region",2
2021-01-02,"West","OH Region",76
2021-01-02,"East","OH Region",42
2021-01-02,"East","OH Region",5
2021-01-02,"West","OH Region",1
2021-01-02,"West","OH Region",2
2021-01-02,"East","OH Region",3
2021-01-02,"Central","OH Region",64
2021-01-02,"East","OH Region",4
2021-01-02,"West","OH Region",7
2021-01-02,"East","OH Region",2
2021-01-02,"West","OH Region",5
2021-01-02,"East","OH Region",2
2021-01-02,"West","OH Region",38
2021-01-02,"West","OH Region",87
2021-01-02,"North East","OH Region",2
2021-01-02,"North West","OH Region",1
2021-01-02,"East","OH Region",12
2021-01-02,"Central","OH Region",160
2021-01-02,"East","OH Region",2
2021-01-02,"North East","OH Region",0
2021-01-02,"North East","OH Region",1
2021-01-02,"West","OH Region",33
2021-01-02,"North East","OH Region",0
2021-01-02,"Central","OH Region",20
2021-01-02,"West","OH Region",32
2021-01-02,"North West","OH Region",2
2021-01-02,"North East","OH Region",2
2021-01-02,"Toronto","OH Region",461
2021-01-02,"Central","OH Region",17
2021-01-02,"West","OH Region",84
2021-01-02,"Central","OH Region",117
2021-09-04,"Ontario","Province",334
2021-09-04,"North East","OH Region",2
2021-09-04,"West","OH Region",18
2021-09-04,"West","OH Region",7
2021-09-04,"West","OH Region",46
2021-09-04,"East","OH Region",6
2021-09-04,"East","OH Region",2
2021-09-04,"West","OH Region",3
2021-09-04,"West","OH Region",0
2021-09-04,"East","OH Region",1
2021-09-04,"Central","OH Region",12
2021-09-04,"East","OH Region",1
2021-09-04,"West","OH Region",3
2021-09-04,"East","OH Region",1
2021-09-04,"West","OH Region",0
2021-09-04,"East","OH Region",0
2021-09-04,"West","OH Region",13
2021-09-04,"West","OH Region",8
2021-09-04,"North East","OH Region",0
2021-09-04,"North West","OH Region",1
2021-09-04,"East","OH Region",10
2021-09-04,"Central","OH Region",46
2021-09-04,"East","OH Region",1
2021-09-04,"North East","OH Region",1
2021-09-04,"North East","OH Region",2
2021-09-04,"West","OH Region",7
2021-09-04,"North East","OH Region",1
2021-09-04,"Central","OH Region",4
2021-09-04,"West","OH Region",1
2021-09-04,"North West","OH Region",1
2021-09-04,"North East","OH Region",0
2021-09-04,"Toronto","OH Region",87
2021-09-04,"Central","OH Region",4
2021-09-04,"West","OH Region",16
2021-09-04,"Central","OH Region",40
2021-09-11,"Ontario","Province",365
2021-09-11,"North East","OH Region",1
2021-09-11,"West","OH Region",15
2021-09-11,"West","OH Region",11
2021-09-11,"West","OH Region",50
2021-09-11,"East","OH Region",9
2021-09-11,"East","OH Region",1
2021-09-11,"West","OH Region",3
2021-09-11,"West","OH Region",0
2021-09-11,"East","OH Region",2
2021-09-11,"Central","OH Region",7
2021-09-11,"East","OH Region",1
2021-09-11,"West","OH Region",6
2021-09-11,"East","OH Region",2
2021-09-11,"West","OH Region",0
2021-09-11,"East","OH Region",0
2021-09-11,"West","OH Region",12
2021-09-11,"West","OH Region",13
2021-09-11,"North East","OH Region",0
2021-09-11,"North West","OH Region",0
2021-09-11,"East","OH Region",9
2021-09-11,"Central","OH Region",42
2021-09-11,"East","OH Region",1
2021-09-11,"North East","OH Region",1
2021-09-11,"North East","OH Region",2
2021-09-11,"West","OH Region",9
2021-09-11,"North East","OH Region",1
2021-09-11,"Central","OH Region",6
2021-09-11,"West","OH Region",3
2021-09-11,"North West","OH Region",1
2021-09-11,"North East","OH Region",0
2021-09-11,"Toronto","OH Region",109
2021-09-11,"Central","OH Region",6
2021-09-11,"West","OH Region",19
2021-09-11,"Central","OH Region",33
2021-09-18,"Ontario","Province",331
2021-09-18,"North East","OH Region",0
2021-09-18,"West","OH Region",11
2021-09-18,"West","OH Region",16
2021-09-18,"West","OH Region",38
2021-09-18,"East","OH Region",7
2021-09-18,"East","OH Region",4
2021-09-18,"West","OH Region",3
2021-09-18,"West","OH Region",1
2021-09-18,"East","OH Region",1
2021-09-18,"Central","OH Region",8
2021-09-18,"East","OH Region",2
2021-09-18,"West","OH Region",3
2021-09-18,"East","OH Region",2
2021-09-18,"West","OH Region",2
2021-09-18,"East","OH Region",0
2021-09-18,"West","OH Region",10
2021-09-18,"West","OH Region",11
2021-09-18,"North East","OH Region",0
2021-09-18,"North West","OH Region",1
2021-09-18,"East","OH Region",11
2021-09-18,"Central","OH Region",43
2021-09-18,"East","OH Region",1
2021-09-18,"North East","OH Region",0
2021-09-18,"North East","OH Region",2
2021-09-18,"West","OH Region",9
2021-09-18,"North East","OH Region",1
2021-09-18,"Central","OH Region",4
2021-09-18,"West","OH Region",6
2021-09-18,"North West","OH Region",2
2021-09-18,"North East","OH Region",0
2021-09-18,"Toronto","OH Region",90
2021-09-18,"Central","OH Region",7
2021-09-18,"West","OH Region",18
2021-09-18,"Central","OH Region",30
2021-09-25,"Ontario","Province",311
2021-09-25,"North East","OH Region",0
2021-09-25,"West","OH Region",6
2021-09-25,"West","OH Region",13
2021-09-25,"West","OH Region",37
2021-09-25,"East","OH Region",4
2021-09-25,"East","OH Region",8
2021-09-25,"West","OH Region",5
2021-09-25,"West","OH Region",1
2021-09-25,"East","OH Region",0
2021-09-25,"Central","OH Region",9
2021-09-25,"East","OH Region",3
2021-09-25,"West","OH Region",6
2021-09-25,"East","OH Region",2
2021-09-25,"West","OH Region",1
2021-09-25,"East","OH Region",1
2021-09-25,"West","OH Region",12
2021-09-25,"West","OH Region",9
2021-09-25,"North East","OH Region",1
2021-09-25,"North West","OH Region",1
2021-09-25,"East","OH Region",16
2021-09-25,"Central","OH Region",32
2021-09-25,"East","OH Region",1
2021-09-25,"North East","OH Region",0
2021-09-25,"North East","OH Region",1
2021-09-25,"West","OH Region",10
2021-09-25,"North East","OH Region",1
2021-09-25,"Central","OH Region",5
2021-09-25,"West","OH Region",6
2021-09-25,"North West","OH Region",1
2021-09-25,"North East","OH Region",0
2021-09-25,"Toronto","OH Region",73
2021-09-25,"Central","OH Region",4
2021-09-25,"West","OH Region",22
2021-09-25,"Central","OH Region",35
2021-10-02,"Ontario","Province",285
2021-10-02,"North East","OH Region",1
2021-10-02,"West","OH Region",5
2021-10-02,"West","OH Region",9
2021-10-02,"West","OH Region",27
2021-10-02,"East","OH Region",3
2021-10-02,"East","OH Region",10
2021-10-02,"West","OH Region",4
2021-10-02,"West","OH Region",0
2021-10-02,"East","OH Region",0
2021-10-02,"Central","OH Region",7
2021-10-02,"East","OH Region",4
2021-10-02,"West","OH Region",7
2021-10-02,"East","OH Region",1
2021-10-02,"West","OH Region",1
2021-10-02,"East","OH Region",0
2021-10-02,"West","OH Region",16
2021-10-02,"West","OH Region",15
2021-10-02,"North East","OH Region",0
2021-10-02,"North West","OH Region",0
2021-10-02,"East","OH Region",17
2021-10-02,"Central","OH Region",22
2021-10-02,"East","OH Region",1
2021-10-02,"North East","OH Region",0
2021-10-02,"North East","OH Region",1
2021-10-02,"West","OH Region",8
2021-10-02,"North East","OH Region",1
2021-10-02,"Central","OH Region",5
2021-10-02,"West","OH Region",5
2021-10-02,"North West","OH Region",1
2021-10-02,"North East","OH Region",0
