"time","geo_value","geo_type","covid","flu","rsv"
2024-08-31,"Ontario","Province",671,35,13
2024-08-31,"North East","OH Region",5,0,0
2024-08-31,"West","OH Region",4,0,0
2024-08-31,"West","OH Region",11,0,0
2024-08-31,"West","OH Region",45,29,9
2024-08-31,"East","OH Region",24,1,1
2024-08-31,"East","OH Region",6,0,0
2024-08-31,"West","OH Region",3,0,0
2024-08-31,"West","OH Region",2,1,0
2024-08-31,"East","OH Region",16,0,0
2024-08-31,"Central","OH Region",11,1,1
2024-08-31,"East","OH Region",9,0,0
2024-08-31,"West","OH Region",1,0,0
2024-08-31,"East","OH Region",13,0,0
2024-08-31,"West","OH Region",0,0,0
2024-08-31,"East","OH Region",8,0,0
2024-08-31,"West","OH Region",21,1,0
2024-08-31,"West","OH Region",47,1,1
2024-08-31,"North East","OH Region",7,0,0
2024-08-31,"North West","OH Region",1,0,0
2024-08-31,"East","OH Region",70,1,1
2024-08-31,"Central","OH Region",43,1,1
2024-08-31,"East","OH Region",14,1,0
2024-08-31,"North East","OH Region",4,0,0
2024-08-31,"North East","OH Region",5,1,0
2024-08-31,"West","OH Region",18,0,0
2024-08-31,"North East","OH Region",5,0,0
2024-08-31,"Central","OH Region",27,0,1
2024-08-31,"West","OH Region",26,0,0
2024-08-31,"North West","OH Region",18,0,0
2024-08-31,"North East","OH Region",2,0,0
2024-08-31,"Toronto","OH Region",153,2,1
2024-08-31,"Central","OH Region",16,0,0
2024-08-31,"West","OH Region",15,0,0
2024-08-31,"Central","OH Region",32,1,0
2024-09-07,"Ontario","Province",638,39,15
2024-09-07,"North East","OH Region",3,0,0
2024-09-07,"West","OH Region",6,0,0
2024-09-07,"West","OH Region",5,0,0
2024-09-07,"West","OH Region",55,31,11
2024-09-07,"East","OH Region",20,0,0
2024-09-07,"East","OH Region",9,0,0
2024-09-07,"West","OH Region",11,0,0
2024-09-07,"West","OH Region",3,1,0
2024-09-07,"East","OH Region",17,0,0
2024-09-07,"Central","OH Region",11,1,1
2024-09-07,"East","OH Region",7,0,0
2024-09-07,"West","OH Region",3,0,0
2024-09-07,"East","OH Region",12,0,1
2024-09-07,"West","OH Region",1,0,0
2024-09-07,"East","OH Region",5,0,0
2024-09-07,"West","OH Region",17,0,0
2024-09-07,"West","OH Region",27,0,2
2024-09-07,"North East","OH Region",7,0,0
2024-09-07,"North West","OH Region",1,0,0
2024-09-07,"East","OH Region",59,1,1
2024-09-07,"Central","OH Region",39,1,1
2024-09-07,"East","OH Region",7,0,0
2024-09-07,"North East","OH Region",6,0,0
2024-09-07,"North East","OH Region",14,2,0
2024-09-07,"West","OH Region",19,0,0
2024-09-07,"North East","OH Region",3,0,0
2024-09-07,"Central","OH Region",32,1,1
2024-09-07,"West","OH Region",32,1,0
2024-09-07,"North West","OH Region",17,0,0
2024-09-07,"North East","OH Region",3,0,0
2024-09-07,"Toronto","OH Region",148,2,1
2024-09-07,"Central","OH Region",10,0,0
2024-09-07,"West","OH Region",15,0,0
2024-09-07,"Central","OH Region",28,1,0
2024-09-14,"Ontario","Province",667,41,16
2024-09-14,"North East","OH Region",5,0,0
2024-09-14,"West","OH Region",15,0,0
2024-09-14,"West","OH Region",4,0,0
2024-09-14,"West","OH Region",59,33,11
2024-09-14,"East","OH Region",20,0,0
2024-09-14,"East","OH Region",10,0,0
2024-09-14,"West","OH Region",7,0,0
2024-09-14,"West","OH Region",5,2,0
2024-09-14,"East","OH Region",8,0,0
2024-09-14,"Central","OH Region",16,2,0
2024-09-14,"East","OH Region",11,0,0
2024-09-14,"West","OH Region",3,0,0
2024-09-14,"East","OH Region",15,0,1
2024-09-14,"West","OH Region",4,0,0
2024-09-14,"East","OH Region",4,0,0
2024-09-14,"West","OH Region",23,0,0
2024-09-14,"West","OH Region",26,0,2
2024-09-14,"North East","OH Region",7,0,0
2024-09-14,"North West","OH Region",3,0,0
2024-09-14,"East","OH Region",64,1,1
2024-09-14,"Central","OH Region",43,0,1
2024-09-14,"East","OH Region",9,0,0
2024-09-14,"North East","OH Region",3,0,0
2024-09-14,"North East","OH Region",16,1,1
2024-09-14,"West","OH Region",15,0,1
2024-09-14,"North East","OH Region",7,0,0
2024-09-14,"Central","OH Region",30,0,1
2024-09-14,"West","OH Region",30,0,0
2024-09-14,"North West","OH Region",11,0,0
2024-09-14,"North East","OH Region",2,0,0
2024-09-14,"Toronto","OH Region",146,3,2
2024-09-14,"Central","OH Region",11,0,0
2024-09-14,"West","OH Region",18,0,0
2024-09-14,"Central","OH Region",33,0,0
2024-09-21,"Ontario","Province",770,41,18
2024-09-21,"North East","OH Region",5,0,0
2024-09-21,"West","OH Region",15,0,0
2024-09-21,"West","OH Region",7,0,0
2024-09-21,"West","OH Region",78,31,12
2024-09-21,"East","OH Region",38,0,1
2024-09-21,"East","OH Region",12,0,0
2024-09-21,"West","OH Region",8,0,0
2024-09-21,"West","OH Region",6,1,0
2024-09-21,"East","OH Region",14,0,0
2024-09-21,"Central","OH Region",16,2,1
2024-09-21,"East","OH Region",12,0,0
2024-09-21,"West","OH Region",4,0,0
2024-09-21,"East","OH Region",23,1,0
2024-09-21,"West","OH Region",4,0,0
2024-09-21,"East","OH Region",6,0,0
2024-09-21,"West","OH Region",32,0,0
2024-09-21,"West","OH Region",35,2,2
2024-09-21,"North East","OH Region",9,0,0
2024-09-21,"North West","OH Region",3,0,0
2024-09-21,"East","OH Region",60,1,1
2024-09-21,"Central","OH Region",49,1,0
2024-09-21,"East","OH Region",9,0,0
2024-09-21,"North East","OH Region",3,0,0
2024-09-21,"North East","OH Region",19,0,0
2024-09-21,"West","OH Region",24,0,1
2024-09-21,"North East","OH Region",10,0,0
2024-09-21,"Central","OH Region",27,1,0
2024-09-21,"West","OH Region",16,0,0
2024-09-21,"North West","OH Region",10,1,0
2024-09-21,"North East","OH Region",1,0,0
